Date,Action,Symbol,Description,Price,Quantity,Amount
1/22/24,Buy to Open,SPXW 01/23/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/23/24,$0.50 ,1,($51.09)
1/22/24,Buy to Open,SPXW 01/23/2024 4755.00 P,PUT S & P 500 INDEX $4755 EXP 01/23/24,$0.55 ,1,($56.09)
1/22/24,Buy to Open,SNOW 01/26/2024 200.00 C,CALL SNOWFLAKE INC $200 EXP 01/26/24,$2.95 ,1,($295.66)
1/22/24,Buy to Open,ADBE 01/26/2024 622.50 C,CALL ADOBE INC $622.5 EXP 01/26/24,$7.16 ,1,($716.66)
1/22/24,Buy to Open,SNOW 01/26/2024 200.00 C,CALL SNOWFLAKE INC $200 EXP 01/26/24,$4.15 ,1,($415.66)
1/19/24,Sell to Close,MSFT 01/26/2024 405.00 C,CALL MICROSOFT CORP $405 EXP 01/26/24,$1.46 ,1,$145.34 
1/19/24,Buy to Open,MSFT 01/26/2024 405.00 C,CALL MICROSOFT CORP $405 EXP 01/26/24,$1.48 ,1,($148.66)
1/19/24,Sell to Close,SPXW 01/22/2024 4850.00 C,CALL S & P 500 INDEX $4850 EXP 01/22/24,$6.50 ,1,$648.82 
1/19/24,Buy to Open,SPXW 01/22/2024 4850.00 C,CALL S & P 500 INDEX $4850 EXP 01/22/24,$6.60 ,1,($661.18)
1/19/24,Sell to Close,MSFT 01/19/2024 395.00 P,PUT MICROSOFT CORP $395 EXP 01/19/24,$0.04 ,1,$3.34 
1/19/24,Sell to Close,MSFT 01/19/2024 400.00 C,CALL MICROSOFT CORP $400 EXP 01/19/24,$0.01 ,5,$1.69 
1/19/24,Buy to Open,SPXW 01/22/2024 4900.00 C,CALL S & P 500 INDEX $4900 EXP 01/22/24,$0.60 ,1,($61.09)
1/19/24,Sell to Close,SPXW 01/22/2024 4870.00 C,CALL S & P 500 INDEX $4870 EXP 01/22/24,$3.50 ,1,$348.82 
1/19/24,Buy to Open,SPXW 01/22/2024 4870.00 C,CALL S & P 500 INDEX $4870 EXP 01/22/24,$3.20 ,1,($321.18)
1/19/24,Sell to Close,ADBE 01/26/2024 617.50 C,CALL ADOBE INC $617.5 EXP 01/26/24,$2.77 ,1,$276.34 
1/19/24,Buy to Open,MSFT 01/19/2024 400.00 C,CALL MICROSOFT CORP $400 EXP 01/19/24,$0.06 ,5,($33.30)
1/19/24,Buy to Open,MSFT 01/19/2024 395.00 P,PUT MICROSOFT CORP $395 EXP 01/19/24,$0.12 ,1,($12.66)
1/19/24,Buy to Open,ADBE 01/26/2024 617.50 C,CALL ADOBE INC $617.5 EXP 01/26/24,$2.31 ,1,($231.66)
1/19/24,Sell to Close,MSFT 01/19/2024 400.00 C,CALL MICROSOFT CORP $400 EXP 01/19/24,$0.04 ,1,$3.34 
1/19/24,Sell to Close,BA 01/19/2024 205.00 P,PUT BOEING CO $205 EXP 01/19/24,$0.11 ,1,$10.34 
1/19/24,Buy to Open,BA 01/19/2024 205.00 P,PUT BOEING CO $205 EXP 01/19/24,$0.22 ,1,($22.66)
1/19/24,Buy to Open,MSFT 01/19/2024 400.00 C,CALL MICROSOFT CORP $400 EXP 01/19/24,$0.14 ,1,($14.66)
1/18/24,Sell to Close,CELH 01/26/2024 61.00 C,CALL CELSIUS HOLDINGS IN$61 EXP 01/26/24,$1.25 ,1,$124.34 
1/18/24,Sell to Close,CELH 01/26/2024 64.00 C,CALL CELSIUS HOLDINGS IN$64 EXP 01/26/24,$0.49 ,3,$145.01 
1/18/24,Sell to Close,ADBE 01/26/2024 600.00 C,CALL ADOBE INC $600 EXP 01/26/24,$6.87 ,1,$686.33 
1/18/24,Sell to Close,TSM 01/26/2024 112.00 C,CALL TAIWAN SEMICONDUCTR$112 EXP 01/26/24,$2.10 ,3,$628.00 
1/18/24,Buy to Open,TSM 01/26/2024 112.00 C,CALL TAIWAN SEMICONDUCTR$112 EXP 01/26/24,$1.37 ,1,($137.66)
1/18/24,Buy to Open,ADBE 01/26/2024 600.00 C,CALL ADOBE INC $600 EXP 01/26/24,$4.65 ,1,($465.66)
1/18/24,Buy to Open,CELH 01/26/2024 64.00 C,CALL CELSIUS HOLDINGS IN$64 EXP 01/26/24,$0.38 ,3,($115.98)
1/18/24,Buy to Open,TSM 01/26/2024 112.00 C,CALL TAIWAN SEMICONDUCTR$112 EXP 01/26/24,$1.66 ,1,($166.66)
1/18/24,Sell to Close,SPX 01/19/2024 4790.00 C,CALL S & P 500 INDEX $4790 EXP 01/19/24,$2.20 ,1,$218.74 
1/18/24,Buy to Open,SPX 01/19/2024 4790.00 C,CALL S & P 500 INDEX $4790 EXP 01/19/24,$2.25 ,1,($226.26)
1/18/24,Buy to Open,TSM 01/26/2024 112.00 C,CALL TAIWAN SEMICONDUCTR$112 EXP 01/26/24,$2.41 ,1,($241.66)
1/17/24,Sell to Close,SPX 01/19/2024 4700.00 P,PUT S & P 500 INDEX $4700 EXP 01/19/24,$5.10 ,1,$508.74 
1/17/24,Buy to Open,SPX 01/19/2024 4700.00 P,PUT S & P 500 INDEX $4700 EXP 01/19/24,$5.00 ,1,($501.26)
1/17/24,Buy to Open,CELH 01/26/2024 61.00 C,CALL CELSIUS HOLDINGS IN$61 EXP 01/26/24,$1.58 ,1,($158.66)
1/16/24,Sell to Close,TSLA 01/19/2024 210.00 P,PUT TESLA INC $210 EXP 01/19/24,$3.15 ,1,$314.34 
1/16/24,Buy to Open,TSLA 01/19/2024 210.00 P,PUT TESLA INC $210 EXP 01/19/24,$2.62 ,1,($262.66)
1/12/24,Sell to Close,MSFT 01/12/2024 387.50 P,PUT MICROSOFT CORP $387.5 EXP 01/12/24,$0.02 ,1,$1.34 
1/12/24,Sell to Close,MSFT 01/12/2024 390.00 C,CALL MICROSOFT CORP $390 EXP 01/12/24,$0.03 ,1,$2.34 
1/12/24,Buy to Open,MSFT 01/12/2024 390.00 C,CALL MICROSOFT CORP $390 EXP 01/12/24,$0.18 ,1,($18.66)
1/12/24,Buy to Open,MSFT 01/12/2024 387.50 P,PUT MICROSOFT CORP $387.5 EXP 01/12/24,$0.24 ,1,($24.66)
1/12/24,Sell to Close,SPXW 01/16/2024 4760.00 P,PUT S & P 500 INDEX $4760 EXP 01/16/24,$8.70 ,1,$868.82 
1/12/24,Buy to Open,SPXW 01/16/2024 4760.00 P,PUT S & P 500 INDEX $4760 EXP 01/16/24,$8.30 ,1,($831.18)
1/12/24,Sell to Close,SPXW 01/16/2024 4760.00 P,PUT S & P 500 INDEX $4760 EXP 01/16/24,$7.50 ,1,$748.82 
1/12/24,Buy to Open,SPXW 01/16/2024 4760.00 P,PUT S & P 500 INDEX $4760 EXP 01/16/24,$7.40 ,1,($741.18)
1/11/24,Sell to Close,SPXW 01/12/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/12/24,$4.60 ,2,$917.64 
1/11/24,Buy to Open,SPXW 01/12/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/12/24,$3.60 ,1,($361.18)
1/11/24,Buy to Open,SPXW 01/12/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/12/24,$4.70 ,1,($471.18)
1/11/24,Sell to Close,SPXW 01/12/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/12/24,$2.85 ,1,$283.82 
1/11/24,Buy to Open,SPXW 01/12/2024 4750.00 P,PUT S & P 500 INDEX $4750 EXP 01/12/24,$2.55 ,1,($256.18)
1/11/24,Sell to Close,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.58 ,1,$157.34 
1/11/24,Buy to Open,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.89 ,1,($189.66)
1/11/24,Sell to Close,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.95 ,1,$194.34 
1/11/24,Buy to Open,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.89 ,1,($189.66)
1/11/24,Sell to Close,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.85 ,1,$184.34 
1/11/24,Buy to Open,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$2.07 ,1,($207.66)
1/11/24,Sell to Close,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.23 ,1,$122.34 
1/11/24,Buy to Open,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.21 ,1,($121.66)
1/11/24,Sell to Close,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.76 ,1,$175.34 
1/11/24,Buy to Open,TSLA 01/12/2024 225.00 P,PUT TESLA INC $225 EXP 01/12/24,$1.21 ,1,($121.66)
1/10/24,Sell to Close,AMD 01/19/2024 155.00 C,CALL ADVANCED MICRO DEVI$155 EXP 01/19/24,$1.12 ,1,$111.34 
1/10/24,Sell to Close,JNJ 01/19/2024 165.00 C,CALL JOHNSON & JOHNSON $165 EXP 01/19/24,$0.34 ,1,$33.34 
1/10/24,Sell to Close,PFE 01/19/2024 30.00 C,CALL PFIZER INC $30 EXP 01/19/24,$0.11 ,2,$20.67 
1/10/24,Sell to Close,NVDA 01/12/2024 550.00 C,CALL NVIDIA CORP $550 EXP 01/12/24,$3.20 ,1,$319.34 
1/10/24,Buy to Open,NVDA 01/12/2024 550.00 C,CALL NVIDIA CORP $550 EXP 01/12/24,$4.49 ,1,($449.66)
1/10/24,Sell to Close,NVDA 01/12/2024 535.00 P,PUT NVIDIA CORP $535 EXP 01/12/24,$4.45 ,1,$444.34 
1/10/24,Buy to Open,NVDA 01/12/2024 535.00 P,PUT NVIDIA CORP $535 EXP 01/12/24,$5.30 ,1,($530.66)
1/10/24,Sell to Close,NVDA 01/12/2024 550.00 C,CALL NVIDIA CORP $550 EXP 01/12/24,$2.90 ,1,$289.34 
1/10/24,Buy to Open,AMD 01/19/2024 155.00 C,CALL ADVANCED MICRO DEVI$155 EXP 01/19/24,$1.57 ,1,($157.66)
1/10/24,Buy to Open,NVDA 01/12/2024 550.00 C,CALL NVIDIA CORP $550 EXP 01/12/24,$3.55 ,1,($355.66)
1/9/24,Sell to Close,NVDA 01/12/2024 532.50 P,PUT NVIDIA CORP $532.5 EXP 01/12/24,$6.65 ,1,$664.33 
1/9/24,Buy to Open,NVDA 01/12/2024 532.50 P,PUT NVIDIA CORP $532.5 EXP 01/12/24,$6.65 ,1,($665.66)
1/9/24,Sell to Close,PFE 01/12/2024 30.00 C,CALL PFIZER INC $30 EXP 01/12/24,$0.13 ,5,$61.69 
1/9/24,Sell to Close,SPY 01/10/2024 475.00 C,CALL SPDR S&P 500 $475 EXP 01/10/24,$0.50 ,2,$97.67 
1/9/24,Buy to Open,JNJ 01/19/2024 165.00 C,CALL JOHNSON & JOHNSON $165 EXP 01/19/24,$0.71 ,1,($71.66)
1/9/24,Sell to Close,JNPR 01/12/2024 37.00 C,CALL JUNIPER NETWORKS IN$37 EXP 01/12/24,$0.70 ,1,$69.34 
1/9/24,Buy to Open,PFE 01/19/2024 30.00 C,CALL PFIZER INC $30 EXP 01/19/24,$0.42 ,2,($85.32)
1/9/24,Buy to Open,PFE 01/12/2024 30.00 C,CALL PFIZER INC $30 EXP 01/12/24,$0.24 ,5,($123.30)
1/9/24,Buy to Open,SPY 01/10/2024 475.00 C,CALL SPDR S&P 500 $475 EXP 01/10/24,$0.34 ,2,($69.32)
1/9/24,Buy to Open,JNPR 01/12/2024 37.00 C,CALL JUNIPER NETWORKS IN$37 EXP 01/12/24,$0.97 ,1,($97.66)
1/8/24,Sell to Close,NVDA 01/12/2024 530.00 C,CALL NVIDIA CORP $530 EXP 01/12/24,$4.93 ,1,$492.34 
1/8/24,Buy to Open,NVDA 01/12/2024 530.00 C,CALL NVIDIA CORP $530 EXP 01/12/24,$4.80 ,1,($480.66)
1/5/24,Sell to Close,TSLA 01/12/2024 237.50 P,PUT TESLA INC $237.5 EXP 01/12/24,$4.72 ,1,$471.34 
1/5/24,Buy to Open,TSLA 01/12/2024 237.50 P,PUT TESLA INC $237.5 EXP 01/12/24,$4.95 ,1,($495.66)
1/5/24,Sell to Close,TSLA 01/12/2024 240.00 C,CALL TESLA INC $240 EXP 01/12/24,$4.90 ,1,$489.34 
1/5/24,Buy to Open,TSLA 01/12/2024 240.00 C,CALL TESLA INC $240 EXP 01/12/24,$4.85 ,1,($485.66)
1/4/24,Sell to Close,TSLA 01/05/2024 242.50 C,CALL TESLA INC $242.5 EXP 01/05/24,$1.69 ,1,$168.34 
1/4/24,Sell to Close,QS 01/05/2024 8.50 C,CALL QUANTUMSCAPE CORP $8.5 EXP 01/05/24,$0.65 ,1,$64.34 
1/4/24,Buy to Open,TSLA 01/05/2024 242.50 C,CALL TESLA INC $242.5 EXP 01/05/24,$1.85 ,1,($185.66)
1/4/24,Sell to Close,TSLA 01/05/2024 242.50 C,CALL TESLA INC $242.5 EXP 01/05/24,$2.18 ,1,$217.34 
1/4/24,Buy to Open,SEM 01/19/2024 30.00 C,CALL SELECT MEDICAL HLDG$30 EXP 01/19/24,$0.25 ,1,($25.66)
1/4/24,Buy to Open,QS 01/05/2024 8.50 C,CALL QUANTUMSCAPE CORP $8.5 EXP 01/05/24,$0.49 ,1,($49.66)
1/4/24,Buy to Open,TSLA 01/05/2024 242.50 C,CALL TESLA INC $242.5 EXP 01/05/24,$2.40 ,1,($240.66)
1/2/24,Sell to Close,TSLA 01/05/2024 260.00 C,CALL TESLA INC $260 EXP 01/05/24,$1.34 ,1,$133.34 
1/2/24,Buy to Open,TSLA 01/05/2024 260.00 C,CALL TESLA INC $260 EXP 01/05/24,$1.60 ,1,($160.66)
1/2/24,Sell to Close,SPY 01/03/2024 471.00 P,PUT SPDR S&P 500 $471 EXP 01/03/24,$0.84 ,1,$83.34 
1/2/24,Buy to Open,SPY 01/03/2024 471.00 P,PUT SPDR S&P 500 $471 EXP 01/03/24,$1.10 ,1,($110.66)
12/27/23,Sell to Close,SPY 12/28/2023 476.00 P,PUT SPDR S&P 500 $476 EXP 12/28/23,$0.74 ,1,$73.34 
12/27/23,Buy to Open,SPY 12/28/2023 476.00 P,PUT SPDR S&P 500 $476 EXP 12/28/23,$0.84 ,1,($84.66)
12/27/23,Sell to Close,SPY 12/28/2023 477.00 C,CALL SPDR S&P 500 $477 EXP 12/28/23,$0.89 ,1,$88.34 
12/27/23,Buy to Open,SPY 12/28/2023 477.00 C,CALL SPDR S&P 500 $477 EXP 12/28/23,$0.98 ,1,($98.66)
